,nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq,IsVulnerable
admin/admin.php,80.0,87.0,0.0,20.0,20.0,3.0,973.8444960573697,0.0,0.0,0.0,16.0,3.0,24.0,no
admin/auth.php,81.0,108.0,1.0,19.0,19.0,4.0,1055.792994990659,6.0,6.0,1.0,23.0,9.0,43.0,no
admin/config.php,54.0,55.0,1.0,16.0,16.0,5.0,534.5238622396128,6.0,6.0,1.0,24.0,9.0,27.0,no
admin/configure.php,25.0,26.0,0.0,3.0,3.0,1.0,225.64609909515707,0.0,0.0,0.0,10.0,3.0,21.0,no
admin/creators.php,77.0,84.0,0.0,18.0,18.0,3.0,916.6229910272306,0.0,0.0,0.0,15.0,3.0,22.0,no
admin/cron.php,39.0,42.0,0.0,18.0,18.0,6.0,581.3722878582188,0.0,0.0,0.0,8.0,2.0,10.0,no
admin/delete.php,28.0,33.0,1.0,9.0,9.0,4.0,251.6886062429995,0.0,0.0,1.0,5.0,2.0,6.0,no
admin/index.php,241.0,254.0,0.0,52.0,52.0,7.0,3629.8730781978866,0.0,0.0,0.0,28.0,6.0,137.0,no
admin/lang.php,174.0,186.0,1.0,40.0,40.0,7.0,2923.2403152636616,0.0,0.0,1.0,16.0,3.0,46.0,no
admin/module.php,29.0,30.0,0.0,5.0,5.0,2.0,350.44354814082396,0.0,0.0,0.0,15.0,3.0,22.0,no
admin/modules.php,103.0,104.0,0.0,29.0,29.0,6.0,1538.0572041353537,0.0,0.0,0.0,19.0,4.0,54.0,no
admin/phpinfo.php,14.0,15.0,0.0,4.0,4.0,1.0,100.46924044487297,0.0,0.0,0.0,6.0,3.0,6.0,no
admin/register.php,55.0,93.0,0.0,7.0,7.0,2.0,889.3840959950235,0.0,0.0,0.0,17.0,3.0,37.0,no
admin/site.php,75.0,76.0,1.0,19.0,19.0,5.0,784.7848067403797,6.0,6.0,1.0,22.0,9.0,37.0,no
admin/user.php,182.0,193.0,0.0,39.0,39.0,5.0,2895.8055670506587,0.0,0.0,0.0,25.0,3.0,77.0,no
admin/users.php,30.0,31.0,0.0,4.0,4.0,1.0,342.76703406445023,0.0,0.0,0.0,9.0,3.0,24.0,no
auth/db/lib.php,42.0,42.0,2.0,8.0,8.0,4.0,419.3540442387669,2.0,1.0,0.0,7.0,3.0,10.0,no
auth/email/lib.php,7.0,7.0,1.0,2.0,2.0,1.0,28.563919505370855,1.0,1.0,0.0,1.0,1.0,1.0,no
auth/imap/lib.php,23.0,23.0,1.0,3.0,3.0,1.0,142.50909579922396,1.0,1.0,0.0,0.0,0.0,0.0,no
auth/ldap/lib.php,178.0,178.0,13.0,32.0,32.0,3.0,1952.1188511124983,6.0,3.0,5.0,1.0,1.0,4.0,no
auth/manual/lib.php,6.0,6.0,1.0,2.0,2.0,1.0,21.405011639608446,1.0,1.0,0.0,1.0,1.0,1.0,no
auth/nntp/lib.php,12.0,12.0,1.0,2.0,2.0,1.0,64.12373393653841,1.0,1.0,0.0,0.0,0.0,0.0,no
auth/none/lib.php,6.0,6.0,1.0,2.0,2.0,1.0,24.953298500158027,1.0,1.0,0.0,1.0,1.0,1.0,no
auth/pop3/lib.php,18.0,18.0,1.0,3.0,3.0,1.0,95.0060638661493,1.0,1.0,0.0,0.0,0.0,0.0,no
backup/backuplib.php,522.0,526.0,29.0,76.0,76.0,5.0,8475.123350312779,32.0,9.0,6.0,19.0,6.0,53.0,no
backup/backup.php,56.0,56.0,0.0,14.0,14.0,3.0,748.4788230230189,0.0,0.0,0.0,17.0,4.0,33.0,no
backup/db/mysql.php,26.0,26.0,1.0,8.0,8.0,1.0,183.88309208431204,1.0,1.0,0.0,2.0,2.0,7.0,no
backup/db/postgres7.php,6.0,6.0,1.0,1.0,1.0,0.0,6.931471805599453,1.0,1.0,0.0,0.0,0.0,0.0,no
backup/lib.php,256.0,256.0,21.0,49.0,49.0,4.0,3320.305307358732,65.0,18.0,8.0,13.0,5.0,35.0,no
backup/restorelib.php,1004.0,1010.0,39.0,172.0,172.0,9.0,14906.659944416646,0.0,0.0,7.0,19.0,6.0,111.0,yes
backup/restore.php,62.0,62.0,0.0,14.0,14.0,4.0,794.7044222747219,0.0,0.0,0.0,16.0,4.0,34.0,no
backup/version.php,3.0,3.0,0.0,1.0,1.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,no
config-dist.php,21.0,23.0,0.0,3.0,3.0,2.0,173.53777895023512,0.0,0.0,0.0,0.0,0.0,0.0,no
course/category.php,202.0,233.0,0.0,61.0,61.0,6.0,3533.16890617315,0.0,0.0,0.0,29.0,4.0,80.0,no
course/delete.php,43.0,43.0,0.0,8.0,8.0,1.0,589.8334250268731,0.0,0.0,0.0,16.0,3.0,29.0,no
course/edit.php,125.0,125.0,1.0,29.0,29.0,6.0,1662.8458903108215,6.0,6.0,1.0,30.0,9.0,62.0,no
course/editsection.php,30.0,30.0,0.0,8.0,8.0,2.0,362.6455022719202,0.0,0.0,0.0,13.0,3.0,18.0,no
course/enrol.php,57.0,58.0,0.0,16.0,16.0,5.0,905.6572998625385,0.0,0.0,0.0,19.0,4.0,36.0,no
course/format/social.php,37.0,42.0,0.0,5.0,5.0,2.0,490.9172605813726,0.0,0.0,0.0,14.0,4.0,24.0,no
course/format/topics.php,152.0,185.0,0.0,35.0,35.0,4.0,3135.468147923939,0.0,0.0,0.0,25.0,5.0,65.0,no
course/format/weeks.php,146.0,180.0,0.0,30.0,30.0,3.0,3116.418482520372,0.0,0.0,0.0,24.0,5.0,63.0,no
course/grade.php,61.0,61.0,0.0,13.0,13.0,9.0,976.189554892157,0.0,0.0,0.0,12.0,4.0,20.0,no
course/grades.php,141.0,146.0,0.0,29.0,29.0,10.0,2607.585257746928,0.0,0.0,0.0,20.0,5.0,48.0,no
course/index.php,200.0,223.0,1.0,64.0,64.0,5.0,2987.77750990677,0.0,0.0,1.0,29.0,4.0,88.0,no
course/info.php,37.0,46.0,0.0,12.0,12.0,4.0,507.7620156186309,0.0,0.0,0.0,13.0,3.0,18.0,no
course/lib.php,881.0,944.0,37.0,225.0,225.0,7.0,19322.67532876984,85.0,20.0,15.0,48.0,4.0,215.0,no
course/loggraph.php,95.0,95.0,0.0,20.0,20.0,4.0,1119.80991413973,0.0,0.0,0.0,13.0,4.0,28.0,no
course/loginas.php,34.0,34.0,0.0,5.0,5.0,1.0,568.125781979072,0.0,0.0,0.0,15.0,3.0,20.0,no
course/loglive.php,18.0,18.0,0.0,3.0,3.0,1.0,158.7738104983615,0.0,0.0,0.0,8.0,4.0,10.0,no
course/log.php,49.0,52.0,0.0,11.0,11.0,3.0,846.6944312085822,0.0,0.0,0.0,16.0,4.0,36.0,no
course/mod.php,261.0,261.0,0.0,73.0,73.0,10.0,4221.142037592874,0.0,0.0,0.0,28.0,4.0,148.0,no
course/recent.php,52.0,59.0,0.0,12.0,12.0,6.0,884.970101217875,0.0,0.0,0.0,14.0,4.0,19.0,no
course/scales.php,130.0,159.0,0.0,27.0,27.0,5.0,1757.1541994078627,0.0,0.0,0.0,25.0,3.0,72.0,no
course/search.php,54.0,61.0,0.0,8.0,8.0,3.0,792.4380484955718,0.0,0.0,0.0,16.0,4.0,29.0,no
course/student.php,75.0,82.0,0.0,20.0,20.0,3.0,1198.3373965264252,0.0,0.0,0.0,16.0,3.0,36.0,yes
course/teacher.php,123.0,133.0,0.0,26.0,26.0,3.0,2095.1126844177747,0.0,0.0,0.0,22.0,3.0,60.0,no
course/unenrol.php,28.0,28.0,0.0,8.0,8.0,2.0,490.94209456848705,0.0,0.0,0.0,13.0,3.0,21.0,no
course/user.php,107.0,130.0,1.0,22.0,22.0,8.0,2041.5043608020285,0.0,0.0,1.0,20.0,4.0,39.0,no
course/view.php,58.0,58.0,0.0,22.0,22.0,4.0,846.8400160197021,0.0,0.0,0.0,19.0,4.0,29.0,no
doc/contents.php,8.0,10.0,0.0,3.0,3.0,1.0,67.70125502755525,0.0,0.0,0.0,3.0,2.0,3.0,no
doc/index.php,23.0,24.0,0.0,7.0,7.0,2.0,138.62943611198907,0.0,0.0,0.0,4.0,2.0,7.0,no
doc/top.php,11.0,12.0,0.0,3.0,3.0,1.0,129.82378304104927,0.0,0.0,0.0,8.0,3.0,8.0,no
doc/view.php,18.0,21.0,0.0,5.0,5.0,2.0,207.09984437500717,0.0,0.0,0.0,10.0,3.0,13.0,no
error/index.php,15.0,16.0,0.0,3.0,3.0,2.0,186.60345256981142,0.0,0.0,0.0,8.0,3.0,8.0,no
file.php,31.0,31.0,0.0,6.0,6.0,1.0,319.98132553404724,0.0,0.0,0.0,6.0,4.0,8.0,yes
files/index.php,489.0,604.0,8.0,80.0,80.0,6.0,8739.376685886062,0.0,0.0,8.0,33.0,6.0,122.0,no
files/mimetypes.php,79.0,79.0,1.0,3.0,3.0,1.0,41.44653167389283,8.0,8.0,0.0,0.0,0.0,0.0,no
help.php,42.0,45.0,0.0,15.0,15.0,7.0,472.5323102985657,0.0,0.0,0.0,9.0,3.0,14.0,no
index.php,95.0,106.0,0.0,25.0,25.0,4.0,1132.744294939294,0.0,0.0,0.0,36.0,5.0,55.0,no
lang/af/assignment.php,41.0,41.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/af/auth.php,60.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/af/choice.php,16.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/af/forum.php,111.0,111.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/af/journal.php,29.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/af/moodle.php,575.0,575.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/af/quiz.php,133.0,133.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/af/resource.php,25.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/af/survey.php,178.0,179.0,0.0,1.0,1.0,0.0,120.60760941743048,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/af/workshop.php,151.0,151.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ar/assignment.php,35.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ar/auth.php,49.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ar/choice.php,12.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ar/forum.php,99.0,99.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ar/journal.php,22.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ar/moodle.php,448.0,448.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ar/quiz.php,99.0,100.0,0.0,1.0,1.0,0.0,67.23527651431469,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ar/resource.php,23.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ar/survey.php,168.0,168.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ca/assignment.php,41.0,41.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ca/choice.php,16.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ca/forum.php,110.0,110.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ca/journal.php,30.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ca/moodle.php,571.0,571.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ca/quiz.php,133.0,133.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ca/reading.php,22.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ca/resource.php,24.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/ca/survey.php,40.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/da/assignment.php,37.0,37.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/da/auth.php,52.0,52.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/da/choice.php,16.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/da/forum.php,99.0,99.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/da/journal.php,24.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/da/moodle.php,460.0,460.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/da/quiz.php,102.0,102.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/da/resource.php,23.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/da/survey.php,169.0,169.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/assignment.php,42.0,42.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/auth.php,61.0,61.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/chat.php,36.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/choice.php,16.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/docs/files.php,14.0,15.0,0.0,1.0,1.0,0.0,9.704060527839234,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de_du/assignment.php,37.0,37.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de_du/auth.php,61.0,61.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de_du/choice.php,16.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de_du/forum.php,106.0,106.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de_du/journal.php,27.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de_du/moodle.php,535.0,535.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de_du/quiz.php,132.0,132.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de_du/resource.php,26.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de_du/survey.php,174.0,174.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de_du/workshop.php,145.0,145.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/forum.php,123.0,123.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/journal.php,28.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/moodle.php,724.0,724.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/pgassignment.php,165.0,165.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/quiz.php,153.0,153.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/resource.php,39.0,39.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/survey.php,174.0,174.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/de/workshop.php,185.0,185.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/el/assignment.php,41.0,41.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/el/auth.php,60.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/el/choice.php,16.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/el/docs/files.php,13.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/el/forum.php,110.0,110.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/el/journal.php,29.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/el/moodle.php,577.0,577.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/el/quiz.php,133.0,133.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/el/resource.php,25.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/el/survey.php,178.0,178.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/el/workshop.php,152.0,152.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/en/assignment.php,42.0,42.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/en/auth.php,60.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/en/chat.php,36.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/en/choice.php,16.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/en/docs/files.php,16.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/en/forum.php,126.0,126.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/en/journal.php,29.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
lang/en/moodle.php,721.0,721.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
