,nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq,IsIdealVulnerable,IsRealVulnerable
admin/auth.php,59.0,82.0,1.0,13.0,13.0,4.0,751.1819569510875,6.0,6.0,1.0,24.0,9.0,35.0,no,no
admin/config.php,59.0,60.0,1.0,18.0,18.0,5.0,610.314559124334,6.0,6.0,1.0,25.0,9.0,30.0,no,no
admin/cron.php,27.0,29.0,0.0,14.0,14.0,6.0,346.9221329295399,0.0,0.0,0.0,4.0,1.0,6.0,no,no
admin/delete.php,28.0,33.0,1.0,9.0,9.0,4.0,251.6886062429995,0.0,0.0,1.0,6.0,2.0,6.0,no,no
admin/forcetables.php,16.0,17.0,0.0,4.0,4.0,3.0,130.0667291053274,0.0,0.0,0.0,7.0,2.0,8.0,no,no
admin/index.php,157.0,159.0,0.0,36.0,36.0,7.0,2203.359623632127,0.0,0.0,0.0,26.0,5.0,98.0,no,no
admin/lang.php,156.0,168.0,1.0,38.0,38.0,6.0,2476.61709671695,0.0,0.0,1.0,15.0,2.0,42.0,no,no
admin/site.php,48.0,48.0,1.0,14.0,14.0,5.0,464.54412130894696,6.0,6.0,1.0,20.0,9.0,26.0,no,no
admin/user.php,157.0,164.0,0.0,34.0,34.0,5.0,2434.315207126499,0.0,0.0,0.0,26.0,2.0,65.0,no,no
auth/db/lib.php,38.0,38.0,2.0,7.0,7.0,4.0,356.5458825887468,2.0,1.0,0.0,7.0,3.0,11.0,no,no
auth/email/lib.php,7.0,7.0,1.0,2.0,2.0,1.0,28.563919505370855,1.0,1.0,0.0,1.0,1.0,1.0,no,no
auth/imap/lib.php,23.0,23.0,1.0,3.0,3.0,1.0,133.37736658799992,1.0,1.0,0.0,0.0,0.0,0.0,no,no
auth/ldap/lib.php,95.0,95.0,6.0,22.0,22.0,3.0,921.6866326034684,2.0,1.0,3.0,2.0,2.0,4.0,no,no
auth/nntp/lib.php,12.0,12.0,1.0,2.0,2.0,1.0,57.15285294512401,1.0,1.0,0.0,0.0,0.0,0.0,no,no
auth/none/lib.php,6.0,6.0,1.0,2.0,2.0,1.0,24.953298500158027,1.0,1.0,0.0,1.0,1.0,1.0,no,no
auth/pop3/lib.php,18.0,18.0,1.0,3.0,3.0,1.0,87.20827815369225,1.0,1.0,0.0,0.0,0.0,0.0,no,no
config-dist.php,12.0,12.0,0.0,1.0,1.0,0.0,74.38353136638456,0.0,0.0,0.0,0.0,0.0,0.0,no,no
course/categories.php,63.0,66.0,0.0,19.0,19.0,4.0,834.5073944271822,0.0,0.0,0.0,18.0,4.0,35.0,no,no
course/delete.php,76.0,76.0,0.0,22.0,22.0,7.0,1040.216481350656,0.0,0.0,0.0,19.0,2.0,52.0,no,no
course/edit.php,91.0,91.0,1.0,21.0,21.0,4.0,1115.5194546985817,6.0,6.0,1.0,27.0,9.0,51.0,no,no
course/editsection.php,25.0,25.0,0.0,7.0,7.0,2.0,261.89219838798596,0.0,0.0,0.0,13.0,3.0,17.0,no,no
course/enrol.php,53.0,53.0,0.0,13.0,13.0,4.0,798.1512311534484,0.0,0.0,0.0,19.0,4.0,35.0,no,no
course/grades.php,117.0,122.0,0.0,25.0,25.0,9.0,2089.528366343651,0.0,0.0,0.0,21.0,4.0,46.0,no,no
course/index.php,31.0,38.0,0.0,8.0,8.0,3.0,279.9051788547171,0.0,0.0,0.0,10.0,3.0,12.0,no,no
course/lib.php,558.0,606.0,27.0,132.0,132.0,6.0,11677.132671401603,64.0,18.0,7.0,32.0,4.0,157.0,no,no
course/loggraph.php,94.0,94.0,0.0,18.0,18.0,4.0,1096.6335846906902,0.0,0.0,0.0,12.0,3.0,26.0,no,no
course/loginas.php,36.0,36.0,0.0,5.0,5.0,1.0,564.3881123607887,0.0,0.0,0.0,16.0,2.0,21.0,no,no
course/loglive.php,16.0,16.0,0.0,3.0,3.0,1.0,131.8122200363756,0.0,0.0,0.0,8.0,3.0,9.0,no,no
course/log.php,39.0,42.0,0.0,9.0,9.0,3.0,543.9682534078803,0.0,0.0,0.0,17.0,4.0,30.0,no,no
course/mod.php,175.0,175.0,0.0,45.0,45.0,5.0,2797.126104735247,0.0,0.0,0.0,24.0,3.0,95.0,no,no
course/social.php,33.0,38.0,0.0,6.0,6.0,2.0,472.5994523507244,0.0,0.0,0.0,15.0,3.0,25.0,no,no
course/teacher.php,99.0,111.0,0.0,32.0,32.0,5.0,1467.5819695098721,0.0,0.0,0.0,19.0,2.0,43.0,no,no
course/teachers.php,48.0,51.0,0.0,13.0,13.0,3.0,793.8078252662906,0.0,0.0,0.0,19.0,3.0,27.0,no,no
