,nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq,IsVulnerable
browse_foreigners.php,215.0,215.0,0.0,20.0,20.0,3.0,1983.4602088138456,0.0,0.0,0.0,25.0,15.0,37.0,no
changelog.php,70.0,74.0,0.0,3.0,3.0,2.0,252.54718724898555,0.0,0.0,0.0,9.0,8.0,3.0,no
chk_rel.php,6.0,6.0,0.0,1.0,1.0,0.0,12.542316284596385,0.0,0.0,0.0,8.0,6.0,4.0,no
config.sample.inc.php,12.0,12.0,0.0,1.0,1.0,0.0,11.78350206951907,0.0,0.0,0.0,0.0,0.0,0.0,no
db_create.php,77.0,77.0,0.0,11.0,11.0,3.0,507.1943130326289,0.0,0.0,0.0,28.0,17.0,23.0,no
db_datadict.php,124.0,135.0,0.0,31.0,31.0,4.0,1437.5577411301929,0.0,0.0,0.0,31.0,19.0,36.0,no
db_events.php,6.0,6.0,0.0,1.0,1.0,0.0,3.4657359027997265,0.0,0.0,0.0,0.0,0.0,0.0,no
db_export.php,49.0,49.0,0.0,9.0,9.0,4.0,318.93318552259376,0.0,0.0,0.0,15.0,13.0,10.0,no
db_import.php,10.0,11.0,0.0,1.0,1.0,0.0,38.36632436477393,0.0,0.0,0.0,10.0,9.0,4.0,no
db_operations.php,144.0,145.0,0.0,25.0,25.0,5.0,1462.9409198909411,0.0,0.0,0.0,63.0,28.0,73.0,no
db_printview.php,66.0,85.0,0.0,14.0,14.0,4.0,769.5569206943081,0.0,0.0,0.0,17.0,12.0,28.0,no
db_qbe.php,36.0,36.0,0.0,5.0,5.0,2.0,183.3707472800404,0.0,0.0,0.0,17.0,14.0,11.0,no
db_routines.php,7.0,7.0,0.0,1.0,1.0,0.0,4.1588830833596715,0.0,0.0,0.0,0.0,0.0,0.0,no
db_search.php,26.0,26.0,0.0,5.0,5.0,1.0,166.61022550876018,0.0,0.0,0.0,17.0,14.0,14.0,no
db_sql.php,27.0,27.0,0.0,4.0,4.0,2.0,146.61699844770897,0.0,0.0,0.0,11.0,10.0,7.0,no
db_structure.php,203.0,203.0,0.0,24.0,24.0,3.0,1824.0343539999594,0.0,0.0,0.0,32.0,16.0,50.0,no
db_tracking.php,127.0,133.0,0.0,23.0,23.0,5.0,1389.2579441501405,0.0,0.0,0.0,34.0,19.0,49.0,no
db_triggers.php,5.0,5.0,0.0,1.0,1.0,0.0,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,no
examples/config.manyhosts.inc.php,36.0,36.0,0.0,2.0,2.0,1.0,80.40507294495366,0.0,0.0,0.0,0.0,0.0,0.0,no
examples/openid.php,72.0,74.0,1.0,13.0,13.0,2.0,576.8089506252758,0.0,0.0,1.0,6.0,6.0,3.0,no
examples/signon.php,18.0,20.0,0.0,3.0,3.0,2.0,79.51343008130763,0.0,0.0,0.0,0.0,0.0,0.0,no
examples/signon-script.php,4.0,4.0,1.0,1.0,1.0,0.0,1.3862943611198906,1.0,1.0,0.0,0.0,0.0,0.0,no
export.php,610.0,613.0,3.0,131.0,131.0,7.0,5677.811366977446,14.0,14.0,2.0,144.0,44.0,98.0,no
file_echo.php,31.0,31.0,0.0,9.0,9.0,4.0,249.1798914189991,0.0,0.0,0.0,3.0,1.0,4.0,no
gis_data_editor.php,250.0,302.0,1.0,46.0,46.0,8.0,3804.206505759994,0.0,0.0,1.0,28.0,17.0,46.0,no
