,nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq,IsIdealVulnerable,IsRealVulnerable
browse_foreigners.php,146.0,159.0,0.0,23.0,23.0,3.0,2080.829010279662,0.0,0.0,0.0,14.0,7.0,17.0,no,no
calendar.php,8.0,9.0,0.0,1.0,1.0,0.0,37.352817814715735,0.0,0.0,0.0,0.0,0.0,0.0,no,no
changelog.php,3.0,3.0,0.0,1.0,1.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,no,no
chk_rel.php,6.0,6.0,0.0,1.0,1.0,0.0,6.591673732008658,0.0,0.0,0.0,1.0,1.0,1.0,no,no
css/phpmyadmin.css.php,51.0,59.0,0.0,9.0,9.0,2.0,350.9946248388294,0.0,0.0,0.0,2.0,1.0,4.0,no,no
db_create.php,17.0,17.0,0.0,3.0,3.0,2.0,169.9424300189354,0.0,0.0,0.0,5.0,4.0,5.0,no,no
db_datadict.php,132.0,143.0,0.0,36.0,36.0,4.0,1647.6420146373794,0.0,0.0,0.0,17.0,7.0,23.0,no,no
db_details_export.php,35.0,35.0,0.0,5.0,5.0,2.0,259.54040848872717,0.0,0.0,0.0,1.0,1.0,1.0,no,no
db_details_importdocsql.php,133.0,144.0,1.0,39.0,39.0,7.0,2247.0136067158146,0.0,0.0,1.0,9.0,5.0,25.0,no,no
db_details.php,12.0,12.0,0.0,2.0,2.0,1.0,35.96842909197556,0.0,0.0,0.0,1.0,1.0,1.0,no,no
db_details_qbe.php,506.0,555.0,3.0,112.0,112.0,8.0,9517.764203207564,0.0,0.0,3.0,19.0,8.0,33.0,no,no
db_details_structure.php,289.0,306.0,1.0,50.0,50.0,6.0,4422.429287969121,0.0,0.0,1.0,12.0,6.0,24.0,no,no
db_import.php,7.0,8.0,0.0,1.0,1.0,0.0,9.704060527839234,0.0,0.0,0.0,0.0,0.0,0.0,no,no
