test_release,#real_vulnerable_file,#ideal_vulnerable_file,#tot_files
1_0_1,0,0,0
1_0_2,0,3,101
1_0_3,0,3,101
1_0_4,0,3,102
1_0_5,0,3,104
1_0_6,0,3,130
1_0_7,0,3,178
1_0_8,0,3,268
1_0_9,0,4,340
1_1_0,0,5,490
1_1_1,0,7,607
1_2_0,0,7,623
1_2_1,0,10,1206
1_3_0,0,10,1206
1_3_1,0,10,1456
1_3_2,0,10,1728
1_3_3,0,10,1728
1_3_4,1,10,1728
1_4_0,1,10,1728
1_4_1,1,11,2463
1_4_2,1,11,2465
1_4_3,1,11,2469
1_4_4,4,11,2469
1_4_5,4,11,2470
1_5_0,4,11,2479
1_5_1,4,14,3359
1_5_2,4,14,3378
1_5_3,4,14,3381
1_6_0,4,14,3410
1_6_1,4,18,3870
1_6_2,4,18,3875
1_6_3,7,18,3878
1_7_0,7,18,3879
1_7_1,7,19,4119
1_7_2,7,19,4122
1_8_0,7,19,4122
1_8_1,7,20,4316
1_8_2,7,21,4333
1_8_3,7,21,4335
1_8_4,7,21,4341
1_9_0,7,21,4357
1_9_1,7,24,4612
1_9_2,7,24,4621
2_0_0,16,25,4626
2_0_1,16,41,6656
2_0_2,16,41,6659
2_0_3,16,41,6669
2_1_0,16,41,6690
2_1_1,16,42,6897
2_1_2,16,42,6908
2_1_3,16,42,6917
